image,expected,pre_num_allowed_detections,pre_result,pre_processing_time,post_num_allowed_detections,post_result,post_processing_time,difference_flag,improvement_status
No_Signs_time(8)_fog(25)_rain(15)_308.jpg,No_Signs,0,TN,0.1015,0,TN,0.0849,No,No change
No_Signs_time(9)_fog(25)_rain(15)_52.jpg,No_Signs,0,TN,0.0078,0,TN,0.0055,No,No change
No_Signs_time(5)_fog(25)_rain(15)_249.jpg,No_Signs,0,TN,0.0071,0,TN,0.0060,No,No change
No_Signs_time(8)_fog(25)_rain(15)_301.jpg,No_Signs,0,TN,0.0057,0,TN,0.0061,No,No change
No_Signs_time(5)_fog(25)_rain(15)_235.jpg,No_Signs,0,TN,0.0059,0,TN,0.0080,No,No change
No_Signs_time(8)_fog(25)_rain(15)_310.jpg,No_Signs,0,TN,0.0067,0,TN,0.0061,No,No change
With_Signs_time(16)_fog(0)_rain(0)_59.jpg,With_Signs,1,TP,0.0090,2,TP,0.0073,Yes,Improved
No_Signs_time(5)_fog(25)_rain(15)_241.jpg,No_Signs,0,TN,0.0061,0,TN,0.0063,No,No change
No_Signs_time(16)_fog(25)_rain(0)_179.jpg,No_Signs,0,TN,0.0066,0,TN,0.0058,No,No change
With_Signs_time(16)_fog(0)_rain(0)_57.jpg,With_Signs,1,TP,0.0082,2,TP,0.0074,Yes,Improved
No_Signs_time(16)_fog(25)_rain(0)_182.jpg,No_Signs,0,TN,0.0057,0,TN,0.0061,No,No change
With_Signs_time(16)_fog(0)_rain(25)_87.jpg,With_Signs,1,TP,0.0064,1,TP,0.0068,No,No change
No_Signs_time(18)_fog(25)_rain(20)_21.jpg,No_Signs,0,TN,0.0061,0,TN,0.0064,No,No change
With_Signs_time(22)_fog(0)_rain(25)_138.jpg,With_Signs,0,FN,0.0068,0,FN,0.0058,No,No change
No_Signs_time(16)_fog(25)_rain(0)_187.jpg,No_Signs,0,TN,0.0065,0,TN,0.0067,No,No change
No_Signs_time(8)_fog(25)_rain(15)_302.jpg,No_Signs,0,TN,0.0061,0,TN,0.0059,No,No change
No_Signs_time(9)_fog(25)_rain(15)_45.jpg,No_Signs,0,TN,0.0056,0,TN,0.0071,No,No change
