epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0804,0.94526,1.92201,1.38407,0.51884,0.43927,0.51367,0.33409,1.08712,2.21805,1.87952,0.000551185,0.000551185,0.000551185
2,40.9202,0.93533,1.14504,1.36052,0.86136,0.88276,0.88443,0.60642,1.16742,1.20658,2.09869,0.00106302,0.00106302,0.00106302
3,55.7957,0.96079,0.95477,1.36979,0.58887,0.5731,0.56419,0.31695,1.47556,1.96202,2.62709,0.00153085,0.00153085,0.00153085
4,74.7444,0.92478,0.82148,1.33197,0.90224,0.89055,0.94741,0.73764,0.85806,0.70152,1.53555,0.00146896,0.00146896,0.00146896
5,89.5453,0.89491,0.71688,1.30705,0.88465,0.93231,0.98002,0.78157,0.77317,0.55228,1.37465,0.00140295,0.00140295,0.00140295
6,107.111,0.85568,0.65067,1.28499,0.97331,0.9673,0.99099,0.77478,0.80852,0.55432,1.40982,0.00133693,0.00133693,0.00133693
7,122.855,0.85451,0.6115,1.27109,0.93475,0.9179,0.97277,0.75545,0.79302,0.51564,1.41916,0.00127092,0.00127092,0.00127092
8,140.803,0.82341,0.58128,1.25578,0.9134,0.92556,0.9466,0.77093,0.69329,0.54569,1.29782,0.00120491,0.00120491,0.00120491
9,155.991,0.78845,0.56524,1.22954,0.93694,0.94602,0.98816,0.79028,0.74958,0.45008,1.34597,0.00113889,0.00113889,0.00113889
10,173.408,0.78033,0.52323,1.22652,0.95017,0.97166,0.99226,0.79917,0.75949,0.44621,1.3546,0.00107288,0.00107288,0.00107288
11,189.03,0.76314,0.51341,1.20514,0.98656,0.97001,0.98655,0.81163,0.74269,0.41396,1.33355,0.00100687,0.00100687,0.00100687
12,204.38,0.74882,0.49615,1.20637,0.94264,0.94122,0.98723,0.81851,0.65799,0.41633,1.24958,0.000940855,0.000940855,0.000940855
13,223.969,0.73752,0.47589,1.19618,0.94487,0.95502,0.98798,0.80704,0.68574,0.42813,1.24048,0.000874842,0.000874842,0.000874842
14,240.278,0.71901,0.46145,1.18275,0.9525,0.98246,0.98867,0.81596,0.66718,0.39079,1.25993,0.000808828,0.000808828,0.000808828
15,260.31,0.69423,0.43734,1.16035,0.9433,0.9615,0.9834,0.82315,0.65342,0.40367,1.26866,0.000742815,0.000742815,0.000742815
16,275.808,0.60552,0.36131,1.14702,0.96142,0.93148,0.98805,0.83061,0.64937,0.35573,1.2344,0.000676802,0.000676802,0.000676802
17,291.969,0.57399,0.33545,1.11536,0.94336,0.91116,0.97947,0.82702,0.69057,0.45013,1.29534,0.000610789,0.000610789,0.000610789
18,309.173,0.5631,0.3283,1.11046,0.95154,0.97521,0.99262,0.8288,0.64461,0.34793,1.22662,0.000544776,0.000544776,0.000544776
19,323.987,0.53581,0.30484,1.08967,0.95008,0.98246,0.98105,0.84828,0.60858,0.36843,1.19415,0.000478762,0.000478762,0.000478762
20,341.807,0.51883,0.2876,1.07906,0.95061,0.98246,0.98229,0.85371,0.59331,0.34221,1.16424,0.000412749,0.000412749,0.000412749
21,357.097,0.50087,0.27393,1.05258,0.95314,0.97911,0.99026,0.86794,0.58149,0.31932,1.14246,0.000346736,0.000346736,0.000346736
22,375.214,0.48901,0.27074,1.04981,0.95274,0.98344,0.99256,0.85892,0.60202,0.31267,1.17967,0.000280723,0.000280723,0.000280723
23,390.031,0.47626,0.25884,1.03712,0.95245,0.98357,0.99031,0.86466,0.60812,0.31387,1.19653,0.00021471,0.00021471,0.00021471
24,408.337,0.45414,0.25543,1.03149,0.95348,0.98302,0.99238,0.87867,0.5637,0.28926,1.13239,0.000148696,0.000148696,0.000148696
25,423.721,0.43998,0.24037,1.01069,0.95321,0.97993,0.99265,0.87405,0.58274,0.29535,1.15961,8.26832e-05,8.26832e-05,8.26832e-05
