epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83787,2.70065,21.0853,1.70931,0.00019,0.20548,0.00014,4e-05,1.47716,63.9881,1.1475,0.00032,0.00032,0.00032
2,5.86354,1.54428,11.1015,1.23495,0.00044,0.46575,0.00072,0.00045,1.06359,61.0862,0.76906,0.00062733,0.00062733,0.00062733
3,7.90495,1.27325,6.52088,0.98266,0.00068,0.72603,0.00591,0.00421,0.61364,70.7586,0.50401,0.000901,0.000901,0.000901
4,9.9256,1.06367,5.93517,0.90353,1,0.61209,0.752,0.57997,0.42164,47.0421,0.40553,0.00114101,0.00114101,0.00114101
5,11.9509,0.98211,4.59403,0.89303,0.95145,0.80538,0.91167,0.71746,0.3519,36.0227,0.37796,0.00134736,0.00134736,0.00134736
6,13.9327,0.97117,4.46122,0.86487,0.91842,0.92534,0.96763,0.76896,0.38401,21.0739,0.38414,0.001505,0.001505,0.001505
7,15.9555,0.96186,3.69241,0.91347,0.96571,0.91781,0.98518,0.72706,0.4301,19.101,0.38939,0.001406,0.001406,0.001406
8,17.9638,0.95935,3.50945,0.86765,0.87281,0.94012,0.9632,0.76181,0.39438,15.8306,0.37883,0.001307,0.001307,0.001307
9,19.9765,1.05201,3.41441,0.93097,0.9238,0.99646,0.99058,0.78328,0.35065,11.8313,0.36936,0.001208,0.001208,0.001208
10,21.9784,0.91925,2.83928,0.83184,1,0.97244,0.99319,0.81342,0.34871,14.4869,0.36689,0.001109,0.001109,0.001109
11,24.4529,0.91179,3.85837,0.90206,0.97081,0.9726,0.98654,0.82524,0.30749,11.4701,0.36379,0.00101,0.00101,0.00101
12,26.5814,0.79677,5.09296,0.81392,0.93773,0.9863,0.98799,0.83011,0.31653,9.12942,0.36962,0.000911,0.000911,0.000911
13,28.564,0.80867,3.38265,0.82712,1,0.95497,0.99181,0.82528,0.32719,9.22586,0.36485,0.000812,0.000812,0.000812
14,30.5006,0.73209,4.19216,0.78846,0.99274,0.9589,0.99184,0.81977,0.31998,9.49637,0.36241,0.000713,0.000713,0.000713
15,32.4457,0.79827,4.19852,0.85301,1,0.95624,0.99185,0.82999,0.31034,9.5002,0.35769,0.000614,0.000614,0.000614
16,34.4623,0.80824,3.88423,0.82047,0.98605,0.96828,0.99294,0.83502,0.30951,9.41212,0.35832,0.000515,0.000515,0.000515
17,36.3865,0.79628,7.19191,0.80177,0.98549,0.9863,0.9938,0.84473,0.2925,9.24234,0.35832,0.000416,0.000416,0.000416
18,38.3423,0.63453,4.98422,0.75058,0.98282,0.9863,0.99381,0.83761,0.28567,9.02827,0.35777,0.000317,0.000317,0.000317
19,40.2931,0.799,2.50197,0.8226,0.97268,0.97531,0.99353,0.83138,0.28173,9.62895,0.35726,0.000218,0.000218,0.000218
20,42.2836,0.68527,4.04484,0.76817,0.97871,0.9726,0.99353,0.83343,0.28303,8.94137,0.35711,0.000119,0.000119,0.000119
