image,expected,num_allowed_detections,result,processing_time
No_Signs_time(8)_fog(25)_rain(15)_308.jpg,No_Signs,0,TN,0.1777
No_Signs_time(9)_fog(25)_rain(15)_52.jpg,No_Signs,0,TN,0.0692
No_Signs_time(5)_fog(25)_rain(15)_249.jpg,No_Signs,0,TN,0.0083
No_Signs_time(8)_fog(25)_rain(15)_301.jpg,No_Signs,0,TN,0.0051
No_Signs_time(5)_fog(25)_rain(15)_235.jpg,No_Signs,0,TN,0.0050
No_Signs_time(8)_fog(25)_rain(15)_310.jpg,No_Signs,0,TN,0.0094
With_Signs_time(16)_fog(0)_rain(0)_59.jpg,With_Signs,0,FN,0.0047
No_Signs_time(5)_fog(25)_rain(15)_241.jpg,No_Signs,0,TN,0.0044
No_Signs_time(16)_fog(25)_rain(0)_179.jpg,No_Signs,0,TN,0.0050
With_Signs_time(16)_fog(0)_rain(0)_57.jpg,With_Signs,2,TP,0.0051
No_Signs_time(16)_fog(25)_rain(0)_182.jpg,No_Signs,0,TN,0.0046
With_Signs_time(16)_fog(0)_rain(25)_87.jpg,With_Signs,1,TP,0.0056
No_Signs_time(18)_fog(25)_rain(20)_21.jpg,No_Signs,0,TN,0.0072
With_Signs_time(22)_fog(0)_rain(25)_138.jpg,With_Signs,0,FN,0.0043
No_Signs_time(16)_fog(25)_rain(0)_187.jpg,No_Signs,0,TN,0.0045
No_Signs_time(8)_fog(25)_rain(15)_302.jpg,No_Signs,0,TN,0.0047
No_Signs_time(9)_fog(25)_rain(15)_45.jpg,No_Signs,0,TN,0.0049
With_Signs_time(16)_fog(25)_rain(0)_92.jpg,With_Signs,0,FN,0.0088
With_Signs_time(16)_fog(90)_rain(25)_110.jpg,With_Signs,1,TP,0.0059
No_Signs_time(13)_fog(75)_rain(0)_9.jpg,No_Signs,0,TN,0.0058
With_Signs_time(16)_fog(0)_rain(0)_66.jpg,With_Signs,0,FN,0.0074
No_Signs_time(8)_fog(25)_rain(15)_286.jpg,No_Signs,0,TN,0.0046
With_Signs_time(8)_fog(90)_rain(0)_164.jpg,With_Signs,1,TP,0.0058
No_Signs_time(16)_fog(25)_rain(0)_197.jpg,No_Signs,0,TN,0.0044
With_Signs_time(13)_fog(0)_rain(0)_326.jpg,With_Signs,2,TP,0.0054
No_Signs_time(9)_fog(25)_rain(0)_41.jpg,No_Signs,0,TN,0.0051
With_Signs_time(16)_fog(0)_rain(25)_80.jpg,With_Signs,0,FN,0.0049
No_Signs_time(13)_fog(75)_rain(0)_5.jpg,No_Signs,0,TN,0.0081
No_Signs_time(5)_fog(25)_rain(15)_243.jpg,No_Signs,0,TN,0.0046
With_Signs_time(8)_fog(90)_rain(0)_169.jpg,With_Signs,1,TP,0.0051
No_Signs_time(5)_fog(25)_rain(15)_231.jpg,No_Signs,0,TN,0.0046
With_Signs_time(22)_fog(0)_rain(25)_134.jpg,With_Signs,0,FN,0.0045
No_Signs_time(6)_fog(25)_rain(0)_260.jpg,No_Signs,0,TN,0.0063
No_Signs_time(9)_fog(25)_rain(0)_28.jpg,No_Signs,0,TN,0.0095
No_Signs_time(6)_fog(25)_rain(0)_265.jpg,No_Signs,0,TN,0.0045
No_Signs_time(5)_fog(25)_rain(15)_234.jpg,No_Signs,0,TN,0.0048
No_Signs_time(6)_fog(25)_rain(0)_279.jpg,No_Signs,0,TN,0.0047
No_Signs_time(6)_fog(25)_rain(0)_264.jpg,No_Signs,0,TN,0.0047
No_Signs_time(9)_fog(25)_rain(0)_35.jpg,No_Signs,0,TN,0.0045
No_Signs_time(6)_fog(25)_rain(0)_252.jpg,No_Signs,0,TN,0.0044
No_Signs_time(13)_fog(75)_rain(0)_11.jpg,No_Signs,0,TN,0.0044
With_Signs_time(16)_fog(0)_rain(0)_343.jpg,With_Signs,0,FN,0.0096
With_Signs_time(16)_fog(0)_rain(25)_79.jpg,With_Signs,0,FN,0.0053
With_Signs_time(16)_fog(0)_rain(25)_86.jpg,With_Signs,0,FN,0.0052
With_Signs_time(6)_fog(0)_rain(0)_345.jpg,With_Signs,0,FN,0.0046
No_Signs_time(16)_fog(25)_rain(0)_183.jpg,No_Signs,0,TN,0.0044
With_Signs_time(16)_fog(0)_rain(0)_335.jpg,With_Signs,0,FN,0.0094
