epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77541,2.56676,6.76703,1.90953,0.00091,0.23288,0.00088,0.00035,3.21765,4.87509,2.22802,6e-05,6e-05,6e-05
2,3.67911,2.82191,7.1746,1.88588,0.00086,0.21918,0.00079,0.00021,3.3903,4.89486,2.40914,0.00012614,0.00012614,0.00012614
3,4.49413,2.35274,6.33619,1.65514,0.00075,0.19178,0.00059,0.00019,3.48093,4.78528,2.35931,0.00017644,0.00017644,0.00017644
4,5.26809,2.2407,5.37374,1.52847,0.00075,0.19178,0.00083,0.00028,3.11469,4.59554,2.24067,0.0002109,0.0002109,0.0002109
5,6.03231,1.72458,5.04023,1.28231,0.00086,0.21918,0.00079,0.00033,2.91994,4.54391,2.17178,0.00022952,0.00022952,0.00022952
6,6.80258,1.52645,4.12603,1.21181,0.00108,0.27397,0.00107,0.00046,2.74113,4.42517,2.04513,0.0002323,0.0002323,0.0002323
7,7.56099,1.43128,4.10226,1.15384,0.00129,0.32877,0.00144,0.00069,2.56468,4.32694,1.89943,0.00021924,0.00021924,0.00021924
8,8.32316,1.32727,3.74615,1.13679,0.00145,0.36986,0.0172,0.01458,2.34404,4.21143,1.76374,0.00019034,0.00019034,0.00019034
9,9.10486,1.35357,3.36022,1.1005,0.00167,0.42466,0.05748,0.04938,2.12838,4.11204,1.65206,0.0001456,0.0001456,0.0001456
10,9.88909,1.10369,2.94885,1.02948,0.00177,0.45205,0.06498,0.05502,1.94016,3.99616,1.5545,8.502e-05,8.502e-05,8.502e-05
